ID Mascarado;Cargo;Idade;Tempo de Empresa;Gênero;Planta Base Origem;Salário Mensal
0;Operador de Máquinas II;54;20;Feminino;Planta B - Rio de Janeiro;3849
1;Montador de Carros II;35;15;Masculino;Planta E - São Paulo;3628
2;Técnico de Manutenção Industrial II;21;2;Masculino;Planta B - Rio de Janeiro;4826
3;Técnico de Qualidade II;31;3;Masculino;Planta A - Bahia;4175
4;Engenheiro de Produção Sênior;28;8;Masculino;Planta A - Bahia;12525
5;Montador de Carros II;31;2;Feminino;Planta B - Rio de Janeiro;4024
6;Operador de Máquinas II;45;10;Masculino;Planta C - São Paulo;3968
7;Montador de Carros II;36;18;Feminino;Planta E - São Paulo;4583
8;Operador de Máquinas II;58;29;Masculino;Planta A - Bahia;3568
9;Montador de Carros II;56;35;Feminino;Planta B - Rio de Janeiro;3918
10;Montador de Carros II;20;2;Masculino;Planta E - São Paulo;3435
11;Montador de Carros I;23;2;Masculino;Planta B - Rio de Janeiro;2074
12;Operador de Máquinas II;36;4;Feminino;Planta B - Rio de Janeiro;3238
13;Operador de Máquinas I;38;9;Feminino;Planta C - São Paulo;3004
14;Técnico de Qualidade II;57;28;Masculino;Planta A - Bahia;3595
15;Técnico de Robótica I;24;6;Masculino;Planta B - Rio de Janeiro;2835
16;Montador de Carros II;45;17;Masculino;Planta D - Rio Grande do Sul;3283
17;Montador de Carros II;18;0;Masculino;Planta B - Rio de Janeiro;4739
18;Montador de Carros I;41;11;Masculino;Planta D - Rio Grande do Sul;2909
19;Operador de Máquinas II;40;15;Masculino;Planta C - São Paulo;3672
20;Operador de Máquinas II;57;37;Feminino;Planta B - Rio de Janeiro;4598
21;Montador de Carros II;42;10;Feminino;Planta E - São Paulo;4231
22;Engenheiro de Produção Jr;28;4;Masculino;Planta E - São Paulo;5286
23;Engenheiro de Produção Sênior;49;28;Feminino;Planta A - Bahia;12270
24;Montador de Carros I;23;4;Masculino;Planta E - São Paulo;2029
25;Técnico de Qualidade I;26;0;Feminino;Planta C - São Paulo;2397
26;Operador de Máquinas II;59;31;Feminino;Planta E - São Paulo;4315
27;Montador de Carros II;33;15;Feminino;Planta E - São Paulo;4133
28;Operador de Máquinas II;54;33;Feminino;Planta B - Rio de Janeiro;4429
29;Montador de Carros I;38;5;Feminino;Planta B - Rio de Janeiro;2383
30;Montador de Carros I;36;5;Masculino;Planta D - Rio Grande do Sul;2170
31;Operador de Máquinas II;36;10;Feminino;Planta B - Rio de Janeiro;3486
32;Técnico de Qualidade I;61;34;Feminino;Planta D - Rio Grande do Sul;2866
33;Operador de Máquinas II;60;34;Feminino;Planta B - Rio de Janeiro;3688
34;Operador de Máquinas I;28;2;Masculino;Planta E - São Paulo;2359
35;Montador de Carros II;24;4;Feminino;Planta E - São Paulo;4343
36;Operador de Máquinas II;45;18;Masculino;Planta B - Rio de Janeiro;4007
37;Montador de Carros II;60;31;Masculino;Planta E - São Paulo;4015
38;Montador de Carros II;45;27;Masculino;Planta C - São Paulo;4265
39;Montador de Carros I;45;11;Masculino;Planta E - São Paulo;2510
40;Operador de Máquinas II;28;3;Masculino;Planta C - São Paulo;3974
41;Operador de Máquinas II;58;26;Feminino;Planta B - Rio de Janeiro;4977
42;Montador de Carros I;19;0;Masculino;Planta C - São Paulo;2223
43;Operador de Máquinas I;47;17;Feminino;Planta C - São Paulo;3143
44;Técnico de Manutenção Industrial II;30;4;Masculino;Planta C - São Paulo;3913
45;Montador de Carros I;18;0;Masculino;Planta B - Rio de Janeiro;2283
46;Montador de Carros II;19;1;Masculino;Planta A - Bahia;4255
47;Operador de Máquinas II;61;31;Masculino;Planta A - Bahia;4479
48;Operador de Máquinas II;38;5;Masculino;Planta D - Rio Grande do Sul;4182
